no,no_bam,situs,poktan,desa,bast
264,264/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104889/empty,Klepu Manunggal,Klepu,20650000
265,265/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104890/empty,Arjo Bawono,Ngadirojo,14750000
266,266/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104891/empty,Sooko Makmur,Sooko,20650000
267,267/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104892/empty,Sumber Makmur,Suru,29500000
268,268/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104893/empty,Bangun Tani,Bangunrejo,17700000
269,269/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104894/empty,Rukun Tani,Gandukepuh,8850000
270,270/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104895/empty,Kamboja,Gegeran,10620000
271,271/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104896/empty,Bumilang Sejahtera,Gelang Lor,15930000
272,272/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104897/empty,Mitra Asih,Kedungbanteng,15930000
273,273/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104898/empty,Jaya Makmur,Lengkong,7080000
274,274/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104899/empty,Sari Tani,Nampan,7080000
275,275/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104900/empty,Tunas Mulya,Prajegan,17700000
276,276/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104901/empty,Fajar Rejeki,Serangan,10620000
277,277/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104902/empty,Bina Mandiri,Sidorejo,21240000
278,278/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104903/empty,Suko Dadi,Sukorejo,17700000
