no,image,situs,poktan,desa,bast,bast_file
541,2009,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81453/empty,Jaya Makmur,Upang Marga,13275000,2009
542,2010,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81454/empty,Panca Tani,Upang Marga,11800000,2010
543,2011,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81455/empty,Karya Baru,Upang Marga,11800000,2011
544,2012,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81456/empty,Tunas Harapan,Upang Marga,10325000,2012
545,2013,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81457/empty,Harapan Baru,Upang Marga,12390000,2013
546,2014,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81458/empty,Tani Makmur,Upang Marga,21240000,2014
547,2015,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81460/empty,Jaya Sentosa,Upang Marga,27140000,2015
548,2016,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81461/empty,Marga Jaya,Upang Marga,24190000,2016
549,2017,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81463/empty,Marga Mukti,Upang Marga,14160000,2017
550,2018,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81464/empty,Tani Jaya,Upang Marga,14160000,2018
551,2019,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81465/empty,Usaha Tani,Upang Marga,18290000,2019
552,2020,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81467/empty,Sendang Rezeki,Upang Marga,18585000,2020
553,2021,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81468/empty,Sumber Rejeki I,Upang Marga,13275000,2021
554,2022,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81469/empty,Sumber Rejeki II,Upang Marga,5900000,2022
555,2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81470/empty,Pada Idi,Upang Marga,18585000,2023
556,2024,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81471/empty,Karya Bersama I,Upang Marga,8555000,2024
557,2025,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81473/empty,Karya Bersama II,Upang Marga,7375000,2025
558,2026,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81474/empty,Berkat Usaha I,Upang Marga,15340000,2026
559,2027,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81475/empty,Berkat Usaha II,Upang Marga,14160000,2027
560,2028,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81476/empty,Tani Subur,Upang Marga,15340000,2028
