no,no_bam,situs,poktan,desa,bast
180,180/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88771/empty,Kwt Selendri,Tolang Jae,4425000
181,181/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88772/empty,Bersama,Tolang Jae,4425000
182,182/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88773/empty,Jaya,Tolang Jae,4425000
183,183/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88774/empty,Subur Makmur,Tolang Jae,5900000
184,184/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88776/empty,Suka Maju,Tolang Jae,5900000
185,185/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88777/empty,Wardah,Tolang Jae,2950000
186,186/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88778/empty,Dolok,Tolang Jae,2950000
187,187/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88781/empty,Tunas Harapan,Sialang,2950000
188,188/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88782/empty,Kwt Pepaya,Sialang,4425000
189,189/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88784/empty,Serasi Jaya,Sialang,4425000
190,190/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88785/empty,Suka Makmur,Sialang,4425000
191,191/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88786/empty,Sinar Tani,Sialang,2950000
192,192/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88788/empty,Kwt Oriza,Sipange Julu,4130000
193,193/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88790/empty,Kwt Rambutan,Sipange Julu,4425000
194,194/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88792/empty,Maju Bersama,Sipange Julu,4425000
195,195/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88793/empty,Mekar,Sipange Julu,4425000
196,196/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88794/empty,Sinar Maju,Sipange Godang,4425000
197,197/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88795/empty,Teratai,Sipange Godang,4425000
198,198/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88797/empty,Kwt Satahi Saoloan,Sipange Godang,4425000
199,199/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88798/empty,Subur,Sipange Godang,2950000
200,200/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88800/empty,Sejati,Sipange Godang,2950000
201,201/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88801/empty,Gerhanas,Sipange Godang,4425000
