no,nomor,situs,poktan,desa,bast
140,140/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91998/empty,Ritma Sari IV,Pegiringan,7375000
141,141/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91999/empty,Utama Sari II,Banjarsari,7375000
142,142/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92000/empty,Panca Tani,Pabuaran,14750000
143,143/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92001/empty,Utama Sari III,Banjarsari,10325000
144,144/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92002/empty,Tani Mulya V,Wanarata,11800000
145,145/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92003/empty,Ritma Sari III,Pegiringan,7375000
146,146/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92004/empty,Sri Rejeki,Kreyo,28910000
147,147/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92005/empty,Tani Makmur 2,Tanahbaya,17700000
148,148/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92006/empty,Sumber Mulya,Gembyang,20650000
149,149/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92007/empty,Guna Tani,Kejene,23600000
150,150/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92008/empty,Bukit Alam Asri,Kejene,26550000
151,151/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92009/empty,Pucang Sari I,Kejene,19175000
152,152/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92010/empty,Warih Prabowo II,Lodaya,14750000
153,153/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92011/empty,Maju Makmur 2,Semaya,11800000
154,154/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92012/empty,Tani Karya 4,Kalitorong,14750000
155,155/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92013/empty,Cita Tani 1,Kalimas,14750000
156,156/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92014/empty,Sido Dadi,Gongseng,14750000
157,157/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92015/empty,Tani Makmur Jaya,Tanahbaya,14750000
158,158/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92016/empty,Mekarsari II,Karangmoncol,11800000
159,159/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92017/empty,Sido Dadi,Kecepit,11800000
160,160/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92018/empty,Sri Karya V,Kalitorong,29500000
161,161/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92019/empty,Maju Jaya Makmur,Pegongsoran,7375000
162,162/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92020/empty,Panca Karya,Banjarmulya,43660000
163,163/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92021/empty,Madya Utama,Banjarmulya,32450000
164,164/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92022/empty,Karya Bakti,Banjarmulya,35400000
165,165/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92023/empty,Mekar Tani,Saradan,14750000
166,166/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92024/empty,Mekar Jaya,Saradan,10325000
167,167/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92025/empty,Mekar Sari,Saradan,10325000
168,168/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92026/empty,Permatan I,Sungapan,10325000
169,169/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92027/empty,Permatan II,Sungapan,10325000
170,170/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92028/empty,Praktis,Pegongsoran,7375000
171,171/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92029/empty,Tani Utama,Paduraksa,7375000
172,172/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92030/empty,Margi Ikhlas,Kebondalem,14750000
173,173/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92031/empty,Ngudi Makmur,Mengori,16225000
174,174/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92032/empty,Pertama,Sewaka,7375000
175,175/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92033/empty,Akur,Sewaka,7375000
176,176/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92034/empty,Praktis,Sewaka,10325000
177,177/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92035/empty,Tulus,Sewaka,23600000
178,178/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92036/empty,Makaryo,Banjarmulya,21535000
179,179/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92037/empty,Sumber Mulya II,Banjarmulya,20650000
180,180/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92038/empty,Tani Mulyo,Mulyoharjo,10325000
181,181/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92039/empty,Tani Unggul,Widodaren,25075000
