2023-10-08 15:24:20,358 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Suruk, kelompok: Rindang Pelita
2023-10-08 15:24:26,954 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Suruk, kelompok: Setia Kawan
2023-10-08 15:24:32,568 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Suruk, kelompok: Sumber Tani
2023-10-08 15:24:38,550 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Suruk, kelompok: Mayang Berseri
2023-10-08 15:24:43,821 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Suruk, kelompok: Harapan Baru
2023-10-08 15:24:49,194 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Suruk, kelompok: Tani Makmur
2023-10-08 15:24:54,380 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Gayam, kelompok: Harapan Baru
2023-10-08 15:24:59,708 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Gayam, kelompok: Karya Membangun
2023-10-08 15:25:05,313 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Gayam, kelompok: Damai Bersama
2023-10-08 15:25:10,695 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Gayam, kelompok: Ruhui Maju
2023-10-08 15:25:15,805 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Gayam, kelompok: Rakat Swarga
2023-10-08 15:25:21,767 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Gayam, kelompok: Sinar Giat
2023-10-08 15:25:26,565 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Labuan Amas, kelompok: Karya Murni
